시장명,별점,리뷰
가평군 설악눈메골시장,,[]
가평군 가평잣고을시장,,[]
가평군 청평여울시장,,[]
고양시 원당시장,4.1,"['집에서 좀 멀지만 늘늘 방문하는 곳입니다\n가격도 저렴하고 싱싱하고  좋아요\n로컬푸드 성사점은 곰팡이...더보기', '진짜ㅜ 원당시장은 그냥 최고ㅜ', '현금만 받는곳이 종종 있고 가격도 그닥 인듯합니다', '시장은 좋은데 주차장이 부족해서 주차하기 힘들어요', '아사리판ㅋㅋㅋ 가격도 높은편이고 복잡하고 다신 안올것 같아요 미나리 한단 15,000원, 애호박 하나에 4,000원ㅋㅋㅋㅋ 역대급이네요', '원당시장 가격 괜찮아요', '이번설에 전이랑 총각김치 샀다.\n전중에 깻잎전, 총각김치 모두 상한냄새나서 버렸어.\n원당시장에서는 신선한 채소만 구입하시길.\n나머지 ...더보기', '신선하고 좋은 재료를 저렴한 가격에 구입할 수 있어요. 떡볶이, 고로케, 어묵, 붕어빵, 호떡 등 맛난 간식들도 많아요. 서울권 시장에 비해 규모는 크지 않지만 있을 건 다 있습니다. 주차는 근처 공영주차장 이용하면 됩니다.', '주차가 어렵고 규모도 너무 작음..']"
고양시 능곡시장,,[]
고양시 일산시장,4.3,"['여러가지 한꺼번에 사고 볼 수 있어서 좋아요', ""'산X상회'절대 가지마세요. 바가지 씌운답니다. 5,000원 하는 도라지를 6,000원에 팔아요."", '굿', '3일8일장~~\n보령중앙시장.한내시장3일8일같음\n금촌5일장 1일6일\n...더보기', '금촌 쪽 시장보다 넓고 좋아요~\n다만 주말엔 주차 공간이 없어요', '다양하게 많은 물건이 있어요', '애매합니다.\n확실한건 주차는 안 좋습니다.', '맛집도 좀있고 재밌어요.', '일산시장 중앙식당 순대집은 가성비도좋고 맛도 괝찮습니다']"
고양시 덕이동패션1번지,5,[]
과천시 과천새서울프라자시장,1,[]
과천시 제일쇼핑시장,,[]
광명시 광명새마을시장,4.2,"['구경가는재미', '근처 순댓국 맛있어요', '물가 대비 저렴하고 많은 양을 살수 있고 신선합니다.   시장분위기가 아주 좋아요', '밥집도 많고 없는 거 없는 좋은 시장입니다!', '모두 잘대해 주셨서 좋았습니다,\n수고하세요,']"
광명시 광명전통시장,4,"['서울에 살지만 가끔씩 찾아가는 곳입니다. 활기차고 물건 많고 가격 싸고 사람 냄새 나는곳. 먹거리도 많구요. 우울할 땐 더 가고픈 곳입니다. 광명시장 짱이예요', '두번다녀왔어요. 주차는 힘들지만 맛있는 음식에 간식들. 식재료까지 장보며 한끼식사까지 해결하기 좋아요. 친절하고 맛있네요', '기분이 다운될때 시장 구경가요,\n신선한 야채 ,과일 먹거리에 구경하는 재미까지~ 구경하다 맛나거도 먹고요~\n사람구경하...더보기', '맛있는시장', '이게 시장이지.. 츄리닝 6,000원 국수 5,000\n가래떡 김성일 1,000원...', '이번 민생회복지원금받고 넘 신나서 올만에 광명시장방문했네요..공용주차하느라 40분이상대기했지만 이것저것 먹거리에 구경할것도많고기분좋더라구요.근데 다른건몰라도 특히과일은 다...더보기', '9-35 닭강정 맛없을줄알고 기대1도안했는데..  강추!!\n드셔보세요...더보기', '시장은활성화가잘대있지만주차가너무심각합', '애인이랑 시장데이트 했는데 \n빈대떡이랑 칼국수 너무 맛있었네요 \n광명홍두깨칼국수/ 원조...더보기', '오랜만에 청춘으로 돌아가 시골을 맞이하는 것 같았습니다', '50년째 광명시 거주중\n예전과 많이 달라진 광명시장\n요즘은 잘 안가\n...더보기', '할머니파전 먹으러가요♥', '시장내 ‘옥설선식‘이란 곳에서 참기름, 들기름을 사고 3만원인가 나왔는데 카드를 안 받는다고 당당히 말함.\n당당히 탈세 하는듯.', '규경할만함']"
광주시 경안시장,3.3,"['시장이 작진 않은데 생각보다 품목이 없어요. 특히 야채가게는 다른 쪽에 있는건지 잘 못봤네요. 그래선지 사람도 별로 없어요', '반미랑 사탕수수 쥬스 먹었어요 맛나네요', '장날에 가면 좋아요??', '인근 주차는 어려워요\n장날이아니면 볼게 없어요', '양파 6개 묶음을 장날에 샀는데 1개는 썩었고 2개는 물렀네요\n싸지도않고 품질도 안좋고 시장에서 사야될 이유가 없습니다', '먹거리좋아요', '광주 경안시장\n주차장도 괜찮고 접근성도 괜찮습니다 \n이부근 상권이 많으며 행정복지 시설도 있습니다', '.......', '상설시장도 알차고 나쁘지 않고 오일장도 서면 규모도 꿀리지 않는다', '시장입구 앞 전부치는곳에서 방금 전을 구매해 왔는데 열어보니 벌써 쉰 냄새가...ㅠ 어떤건 속이 다 익지도 않아서 먹을수가 없을듯...그래도 사람이 먹는음식인데 좀 너무한것 같네요. 다시는 안갈듯.', '시장에서 운동화를 샀는데 처음엔 28000원으로 불렀던 신발을 계산하고 나니 39000원이라고 우기네요 ㅋㅋㅋ 정말 시장은 시장인가봐요 ㅋㅋㅋ']"
구리시 구리전통시장,4.2,"['모임 가느라 주차했는데요. 너무 불편했어요~ 진입하는게 너무 좁고요 12시 넘어서 다 닫아서 너무 당황했어요; 차 다니는 길로 올라갔어요~ 2주차장이 더 편하다네요~', '2025년 1월 5일에 방문했습니다. 참 좋았습니다.', '먹거리 볼거리 정말 많습니다~!!!\n단, 공영주차장이 몇개 있는데, 이용량이 많다보니 많이 복잡합니다. 구경을 위한 목적이면 대중교통 적극 추천합니다~^^', '친구랑 잘 놀다 갑니다!!!\n(접근성 좋음!)', 'ㅁㄹ요 보통', '주차장도 나름...되어 있으니까... 핫도그 최고!', '주차가 주말에 빡세긴 함', '구리시민의 약속의 장소. 많은 추억이 있는 곳 맛있는 맛집이 많아 평소에도 애용하는 장소', '박가네손만두 를 찾아가자 맛난다']"
군포시 군포역전시장,2.4,"['군포역시장. 아침 8시면 김밥과 어묵을 맛볼 수 있는 곳. 군포 숨은 맛집 <와! 소문난 떡볶이>를 추천합니다.  온갖 몸에 ...더보기', '너무 작고 비쌈, 특히 생선가게는 산본 시장보다 30% 비싸요 강력 비추', '.', '이름만 시장이고 정말로 진짜 너무 심각 하게 형편 없음 \n업소도 몇개 없고 규모도 굉장히 작고 타 시장들 보다 대체적으로 가격대가 굉장...더보기', '좋아요', '떡집 뚱한아줌마 엄청 무뚝뚝함', '사장 영업 마인드 생각 좀 하세요.', '중앙시장,산본시장에 비해 많이 부족.. 규모도 많이 작음']"
군포시 산본시장,4,"['주차문제가 개선되었으나 차들이 여전히 도로에 불법정차를 하고 있어요', '주차하기 예전보다 좋아저구요\n시장에 음식도 골고루 있구요', '노변 공영 주차장  최악.', '주차는 도로가에 이중으로 할 수 있어요', '살거 많고 좋지만 주차가 너무 힘들어요 ㅜㅜ', '동네가 여자들이 미쳐날뛰네', '삼촌스토리\n떡볶이, 순대, 튀김을 아들과 함께 1만 원에 먹으면서 행복했네요.\n보통 프랜차이즈 떡볶이 배달시키면 3만 원 가까이 나오는데, 1/...더보기', '고민이 있을때 재래시장 가서 사람냄새 맡으며 장보는것도 좋네요~ 시장은 마트에서 느끼지 못하는 묘한 매력이 있습니다. 모락모락 피어오...더보기', '방송도 탓다고 광고판도 붙인 가게에서 \n회 무침을 먹었는데\n강산 빙초산으로 맛을 내네요...더보기', '좋아요']"
김포시 통진시장,5,[]
김포시 양곡오라니장터시장,,[]
남양주시 남양주장현 전통시장,,[]
동두천시 동두천제일시장,1,['동두천 제일시장은 문닫은듯 해요~\n너무 조용했어요 ㅠㅠ']
동두천시 동두천큰시장,4.5,[]
동두천시 세아프라자상가,,[]
부천시 조공시장,4.3,"['조공시장 김밥 맛집 2500원에 진짜큰 왕김밥 너무 맛있습니다 김이 내용물을 버티지 못하고 터져버렸습니다 ㅋㅋㅋ 파김치도 함께 판매하는 집이에요', '야채랑 김밥, 신발이 싸요']"
