시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
중앙시장,상설장,강원특별자치도 강릉시 금성로21,강원특별자치도 강릉시 성남동 50,매일,37.75401611,128.8986236,276,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,033-648-4477,2024-11-04,B553077,소상공인시장진흥공단
강릉동부시장,상설장,강원특별자치도 강릉시 옥천로 48,강원특별자치도 강릉시 옥천동 223,매일,37.7600498,128.9006624,147,농산물+가공식품+의류+음식점,,,Y,Y,1977,,2024-11-04,B553077,소상공인시장진흥공단
강릉서부시장,상설장,강원특별자치도 강릉시 임영로 155번길 6,강원특별자치도 강릉시 용강동 29,매일,37.75505954,128.8907988,150,농산물+축산물+수산물+신발+가정용품+음식점,,,Y,Y,1977,033-648-9136,2024-11-04,B553077,소상공인시장진흥공단
주문진종합시장,상설장,강원특별자치도 강릉시 주문진읍 구시장길 11-3,강원특별자치도 강릉시 주문진읍 주문리 321-14,매일,37.89143538,128.8269078,88,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,033-662-2180,2024-11-04,B553077,소상공인시장진흥공단
주문진수산시장,상설장,강원특별자치도 강릉시 주문진읍 시장2길 4,강원특별자치도 강릉시 주문진읍 주문리 312-439,매일,37.89097097,128.8280009,52,수산물+음식점,,,Y,Y,1988,033-661-7302,2024-11-04,B553077,소상공인시장진흥공단
주문진좌판풍물시장,상설장,강원특별자치도 강릉시 주문진읍 해안로 1758-10,강원특별자치도 강릉시 주문진읍 주문리 312-713,매일,37.89171625,128.8293151,145,수산물,,,Y,N,2021,033-6629-2920,2024-11-04,B553077,소상공인시장진흥공단
주문진건어물시장,상설장,강원특별자치도 강릉시 주문진읍 해안로1748,강원특별자치도 강릉시 주문리 312-708,매일,37.89114842,128.8287555,98,수산물+가공식품,,,Y,Y,2008,033-661-9599,2024-11-04,B553077,소상공인시장진흥공단
강릉성남시장,상설장,강원특별자치도 강릉시 중앙시장1길 16,강원특별자치도 강릉시 성남동 54-10,매일,37.75344795,128.8992217,128,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2008,033-647-0006,2024-11-04,B553077,소상공인시장진흥공단
간성전통시장,상설장+5일장,강원특별자치도 고성군 간성시장3길 7-2,강원특별자치도 고성군 간성읍 신안리 311-10,2일+7일,38.37994273,128.4694508,66,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실,,,Y,Y,1965,033-682-7885,2024-11-04,B553077,소상공인시장진흥공단
거진전통시장,상설장+5일장,강원특별자치도 고성군 거진시장길 15,강원특별자치도 고성군 거진리 272,1일+6일,38.44783918,128.4539658,61,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+미용실,,,Y,Y,1965,,2024-11-04,B553077,소상공인시장진흥공단
북평민속시장,상설장+5일장,강원특별자치도 동해시 오일장길 32,강원특별자치도 동해시 북평동 15-5,3일+8일,37.48246871,129.1260256,150,농산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1930,033-522-1141,2024-11-04,B553077,소상공인시장진흥공단
묵호항 자연산 수산물 판매시장,상설장,강원특별자치도 동해시 일출로 15-128,강원특별자치도 동해시 묵호진동 15-128번지 외 4필지,매일,37.55205496,129.1162115,70,수산물,,,Y,N,2011,,2024-11-04,B553077,소상공인시장진흥공단
묵호시장,상설장,강원특별자치도 동해시 일출로 59-1,강원특별자치도 동해시묵호동 15-61,매일,37.55235235,129.1141946,125,수산물+가공식품+음식점,,,Y,Y,1970,,2024-11-04,B553077,소상공인시장진흥공단
동쪽바다중앙시장,상설장,강원특별자치도 동해시 중앙시장길 12,강원특별자치도 동해시 발한동 7-1,매일,37.55104769,129.1085683,210,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1940,033-532-3889,2024-11-04,B553077,소상공인시장진흥공단
