시장코드,시장명,지번주소,도로명주소,시도,시군구,시장개설주기,점포수,개설연도,취급품목,아케이드,엘리베이터/에스컬레이터,고객지원센터,스프링쿨러,화재감지기,유아놀이방,종합콜센터,고객휴게실,수유센터,물품보관함,자전거보관함,체육시설,간이도서관,쇼핑카트,외국인안내센터,고객동선통로,방송센터,문화교실,공동물류창고,시장전용고객주차장,교육장,회의실,자동심장충격기,공중화장실,주차장,위도,경도,전화번호
b31370001,설악눈메골시장,경기도 가평군 설악면 신천리 413-14,경기도 가평군 설악면 신천중앙로 104-1,경기도,가평군,1일+6일,94,2016,농산물+음식점,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,37.6773832,127.4921099,031-585-9983
a31370001,가평잣고을시장,경기도 가평군 읍내리 405,경기도 가평군 가평읍 장터2길12  204호,경기도,가평군,5일+10일,119,2015,음식점,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,37.82972123,127.5152015,031-582-8181
a31370007,청평여울시장,경기도 가평군 청평면 청평리 81-2,경기도 가평군 청평면 시장중앙로19,경기도,가평군,2일+7일,79,2018,음식점,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,37.73476563,127.4158572,031-584-0948
a31100001,원당시장,경기도 고양시 덕양구 성사동 697-14,경기도 고양시 덕양구 호국로 790번길 17,경기도,고양시,매일,68,,농산물+축산물+수산물+가공식품+의류+신발+가정용품,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,37.65628119,126.8372523,031-963-0013
a31101001,능곡시장,경기도 고양시 덕양구 토당동 347,경기도 고양시 덕양구 능곡로 12의 9,경기도,고양시,2일+7일,41,2000,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,37.62134419,126.8207793,031-973-3727
a31104002,일산시장,경기도 고양시 일산서구 일산동 617-20,경기도 고양시 일산서구 일청로 12번길 9,경기도,고양시,매일,88,,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.68562383,126.7708323,031-975-2232
b32100003,덕이동패션1번지,경기도 고양시 일산서구 덕이동 384-1,경기도 고양시 일산서구 덕이동 탄중로101번길 13,경기도,고양시,매일,45,2001,의류+신발,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,37.69302668,126.7557864,031-917-6669
a31110001,과천새서울프라자시장,경기도 과천시 별양동 1-18,경기도 과천시 별양상가 2로 20,경기도,과천시,매일,200,2004,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,37.42682749,126.9925547,02-3679-1400
a31110002,제일쇼핑시장,경기도 과천시 별양동 1-13,경기도 과천시 별양상가 2로 14,경기도,과천시,매일,80,2005,가공식품+의류+신발+가정용품+음식점+잡화,N,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,37.42733209,126.9929952,
a31060002,광명새마을시장,경기도 광명시 광명동 342-12,경기도 광명시 광명로 831번지 4의1,경기도,광명시,매일,179,1986,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,37.47365007,126.8513959,02-2614-5292
